Text,Size,Color,Angle,Font,Repeat,URL
SYSTEMS,11,Random,Random,Random,Yes,
MODELS,10,Random,Random,Random,Yes,
PROGRAMS,10,Random,Random,Random,Yes,
REQUIREMENTS,10,Random,Random,Random,Yes,
DEVELOPMENT,10,Random,Random,Random,Yes,
NATURAL LANGUAGE,10,Random,Random,Random,Yes,
SEMANTICS,10,Random,Random,Random,Yes,
SOFTWARE,10,Random,Random,Random,Yes,
SPECIFICATIONS,10,Random,Random,Random,Yes,
REFINEMENT,9,Random,Random,Random,Yes,
VERIFICATION,9,Random,Random,Random,Yes,
TESTING,9,Random,Random,Random,Yes,
DESIGN,9,Random,Random,Random,Yes,
SYNTHESIS,9,Random,Random,Random,Yes,
GENERATION,9,Random,Random,Random,Yes,
REASON,9,Random,Random,Random,Yes,
PROGRAMMING,9,Random,Random,Random,Yes,
OPTIMISING,9,Random,Random,Random,Yes,
TRANSFORMATIONS,9,Random,Random,Random,Yes,
THEORY,9,Random,Random,Random,Yes,
AUTOMATION,9,Random,Random,Random,Yes,
AUTOMATIC,8,Random,Random,Random,Yes,
EMPIRICAL,8,Random,Random,Random,Yes,
SOUND,8,Random,Random,Random,Yes,
CONFORMANCE,8,Random,Random,Random,Yes,
INTEGRATION,8,Random,Random,Random,Yes,
COMPOSITIONAL,8,Random,Random,Random,Yes,
SIMULATION-BASED,8,Random,Random,Random,Yes,
RIGOROUS,8,Random,Random,Random,Yes,
COMPONENT,8,Random,Random,Random,Yes,
MECHANISED,8,Random,Random,Random,Yes,
ROBOTICS,7,Random,Random,Random,Yes,
CONSISTENCY,7,Random,Random,Random,Yes,
INPUT-OUTPUT,6,Random,Random,Random,Yes,
CYBER-PHYSICAL,6,Random,Random,Random,Yes,
TEMPORAL,6,Random,Random,Random,Yes,
ALGEBRA,6,Random,Random,Random,Yes,
CSP,6,Random,Random,Random,Yes,
PATTERNS,5,Random,Random,Random,Yes,
CONTROLLED,5,Random,Random,Random,Yes,
CODE,5,Random,Random,Random,Yes,
COVERAGE,5,Random,Random,Random,Yes,
INDUSTRIAL,5,Random,Random,Random,Yes,
TIMED,5,Random,Random,Random,Yes,
REACTIVE,5,Random,Random,Random,Yes,
IMPLEMENTATION,5,Random,Random,Random,Yes,
GUI,5,Random,Random,Random,Yes,
LOCAL,5,Random,Random,Random,Yes,
LIVELOCK,5,Random,Random,Random,Yes,
HYBRID,5,Random,Random,Random,Yes,
TOOL,5,Random,Random,Random,Yes,
ALLOY,4,Random,Random,Random,Yes,
SYSML,4,Random,Random,Random,Yes,
DATA,4,Random,Random,Random,Yes,
TYPES,4,Random,Random,Random,Yes,
CORRECTNESS,4,Random,Random,Random,Yes,
APPLIED,4,Random,Random,Random,Yes,
APPLICATIONS,4,Random,Random,Random,Yes,
CONTRACT,4,Random,Random,Random,Yes,
MODULARISATION,4,Random,Random,Random,Yes,
VALIDATION,4,Random,Random,Random,Yes,
SIMULATION,4,Random,Random,Random,Yes,
SCR,3,Random,Random,Random,Yes,
CPN,3,Random,Random,Random,Yes,
NAT2TEST,3,Random,Random,Random,Yes,
TOLERANT,3,Random,Random,Random,Yes,
HOL4,3,Random,Random,Random,Yes,
HSP,3,Random,Random,Random,Yes,
CML,3,Random,Random,Random,Yes,
QUANTIFYING,3,Random,Random,Random,Yes,
EFFECTS,3,Random,Random,Random,Yes,
DECOMPOSITIONS,3,Random,Random,Random,Yes,
DATA-FLOW,3,Random,Random,Random,Yes,
COQ,3,Random,Random,Random,Yes,
PRIORITISATION,2,Random,Random,Random,Yes,
ASPECT-ORIENTED,2,Random,Random,Random,Yes,
ASSERTION,2,Random,Random,Random,Yes,
JML,2,Random,Random,Random,Yes,
SYNTHESIS,2,Random,Random,Random,Yes,
FINDING,2,Random,Random,Random,Yes,
METRICS,2,Random,Random,Random,Yes,
DOMAIN,2,Random,Random,Random,Yes,
IMPERATIVE,2,Random,Random,Random,Yes,
FAULTS,2,Random,Random,Random,Yes,
REGRESSION,2,Random,Random,Random,Yes,
INFORMATION,1,Random,Random,Random,Yes,
RETRIEVAL,1,Random,Random,Random,Yes,
STATE,1,Random,Random,Random,Yes,
SEARCH,1,Random,Random,Random,Yes,
CRITERIA,1,Random,Random,Random,Yes,
